momentum,learning_rate,hidden_dim,epochs,dropout_rate,batch_size,best_vloss,best_epoch,training_f1_score,testing_f1_score
0.4,0.005,16,300,0.05,4,0.48111987113952637,294,0.6289308176100629,0.32608695652173914
0.7000000000000001,0.005,16,400,0.30000000000000004,16,0.5497153401374817,280,0.4454545454545455,0.33333333333333337
1.0,0.01,4,150,0.30000000000000004,16,0.373299241065979,81,0.0,0.0
0.1,0.01,32,400,0.1,32,0.5755131840705872,353,0.3669141039236479,0.30042918454935624
1.0,0.02,16,50,0.4,16,0.37328076362609863,30,0.0,0.0
0.2,0.02,16,50,0.15000000000000002,8,0.5566193461418152,33,0.36461704422869473,0.2959641255605381
1.0,0.02,16,150,0.4,8,0.37696993350982666,24,0.22519238558120697,0.22366288492706646
0.5,0.015,8,150,0.0,16,0.5301966667175293,137,0.4119922630560928,0.2833333333333333
0.6000000000000001,0.01,16,450,0.25,16,0.5389504432678223,433,0.4684129429892142,0.3333333333333333
0.8,0.01,4,250,0.25,32,0.5444490909576416,243,0.47301587301587295,0.3221476510067114
0.0,0.02,32,400,0.1,8,0.5132337212562561,339,0.6202365308804205,0.30337078651685395
0.4,0.015,16,150,0.2,32,0.6067468523979187,142,0.36008676789587846,0.30357142857142855
0.2,0.015,8,350,0.4,16,0.5938042402267456,341,0.35245046923879036,0.27755102040816326
0.8,0.01,32,250,0.4,4,0.5126626491546631,54,0.4412955465587044,0.2821576763485477
0.8,0.015,16,400,0.4,4,0.5128398537635803,55,0.5498281786941581,0.2575107296137339
0.2,0.015,4,350,0.0,32,0.5590698719024658,321,0.42010309278350516,0.3118279569892473
0.0,0.005,16,250,0.2,16,0.6379289031028748,236,0.3116883116883117,0.2545454545454546
0.7000000000000001,0.02,32,450,0.1,32,0.49459946155548096,383,0.6587926509186351,0.2903225806451613
0.9,0.02,4,200,0.4,4,0.4664374887943268,151,0.5792563600782779,0.30769230769230765
0.6000000000000001,0.01,4,400,0.0,8,0.51080322265625,146,0.5182863113897597,0.25550660792951546
0.0,0.015,4,200,0.0,16,0.5464481115341187,151,0.43279569892473113,0.32584269662921345
0.8,0.01,32,400,0.05,8,0.4969369173049927,11,0.9437819420783646,0.32167832167832167
0.8,0.01,32,250,0.30000000000000004,16,0.5310109257698059,155,0.42993197278911566,0.3181818181818181
0.4,0.015,32,100,0.1,32,0.5858685970306396,91,0.33396226415094343,0.2727272727272727
0.7000000000000001,0.02,4,400,0.2,8,0.5373136401176453,41,0.49728555917480993,0.27555555555555555
0.30000000000000004,0.015,16,150,0.1,16,0.558863639831543,122,0.41012658227848103,0.3118279569892473
0.8,0.02,8,300,0.30000000000000004,32,0.5333167314529419,155,0.47692307692307695,0.32098765432098764
0.30000000000000004,0.015,4,350,0.0,8,0.5018995404243469,86,0.4706994328922495,0.2595419847328244
0.2,0.01,4,350,0.30000000000000004,8,0.5736623406410217,332,0.44602272727272724,0.323699421965318
0.0,0.005,16,100,0.2,16,0.6732797622680664,0,0.29942857142857143,0.3287671232876712
0.2,0.01,8,500,0.15000000000000002,4,0.533770740032196,350,0.5452488687782805,0.28292682926829266
0.7000000000000001,0.02,8,50,0.2,16,0.5586381554603577,43,0.34563106796116505,0.2948207171314741
0.7000000000000001,0.005,8,150,0.05,4,0.5366378426551819,120,0.5117565698478562,0.3111111111111111
0.1,0.01,32,450,0.1,4,0.5034167170524597,176,0.7776183644189384,0.2625
1.0,0.02,16,200,0.15000000000000002,16,0.3732811212539673,176,0.22519238558120697,0.22366288492706646
0.1,0.005,32,250,0.2,4,0.5278037190437317,206,0.4133504492939666,0.34408602150537637
0.5,0.02,16,250,0.05,8,0.5146206617355347,115,0.7547683923705722,0.24
0.1,0.015,16,50,0.05,4,0.5483066439628601,33,0.40142517814726847,0.31313131313131315
0.9,0.015,4,200,0.2,4,0.5010314583778381,37,0.41919191919191917,0.25165562913907286
1.0,0.015,4,250,0.05,4,0.38107532262802124,21,0.22519238558120697,0.22366288492706646
0.5,0.02,8,150,0.0,32,0.5393049716949463,122,0.4229390681003585,0.30927835051546393
0.2,0.02,4,50,0.25,8,0.6061645150184631,46,0.35840707964601765,0.30697674418604654
0.2,0.015,4,250,0.30000000000000004,16,0.6434024572372437,214,0.33527131782945735,0.2585551330798479
1.0,0.01,8,100,0.0,16,0.37274467945098877,77,0.22721700040866366,0.2251223491027732
0.6000000000000001,0.02,8,50,0.05,16,0.5591852068901062,49,0.4262295081967213,0.3146067415730337
0.5,0.005,16,250,0.0,4,0.5023483633995056,123,0.7703081232492996,0.23121387283236994
0.30000000000000004,0.005,4,200,0.05,32,0.5385174751281738,0,0.31658767772511853,0.26771653543307083
0.7000000000000001,0.005,8,450,0.05,4,0.5229269862174988,190,0.6501854140914709,0.24742268041237114
0.0,0.015,16,350,0.4,4,0.5184282064437866,125,0.4897959183673469,0.30463576158940403
0.7000000000000001,0.005,4,150,0.25,8,0.5835350751876831,144,0.41229193341869397,0.3152173913043478
0.2,0.015,16,100,0.25,32,0.6503098011016846,0,0.3203125,0.2709163346613546
0.8,0.02,16,150,0.0,8,0.47286257147789,33,0.9586206896551724,0.3513513513513513
0.8,0.02,4,450,0.1,32,0.5295493006706238,384,0.5213270142180094,0.30872483221476504
0.0,0.02,16,450,0.05,8,0.5281066298484802,169,0.7100130039011703,0.2359550561797753
0.9,0.015,4,350,0.15000000000000002,32,0.5221410393714905,105,0.5304212168486738,0.30666666666666664
0.1,0.01,32,300,0.25,16,0.5593554973602295,284,0.38734177215189874,0.30927835051546393
0.30000000000000004,0.005,8,400,0.2,32,0.5492389798164368,0,0.34736842105263155,0.2650602409638554
0.30000000000000004,0.01,8,200,0.05,32,0.6214015483856201,199,0.36426116838487976,0.29333333333333333
0.9,0.01,4,350,0.05,8,0.5049701929092407,81,0.44173140954495005,0.29824561403508776
0.9,0.015,16,350,0.25,32,0.5176624655723572,90,0.5274151436031331,0.2947368421052632
0.7000000000000001,0.005,8,100,0.35000000000000003,32,0.6697843074798584,1,0.22519238558120697,0.22366288492706646
0.1,0.02,8,400,0.4,8,0.5416064262390137,229,0.480243161094225,0.35000000000000003
0.8,0.01,16,350,0.30000000000000004,4,0.49796295166015625,35,0.5776173285198556,0.25
0.0,0.015,8,500,0.30000000000000004,16,0.5522149205207825,461,0.4544095665171899,0.3037974683544304
0.2,0.02,32,500,0.0,8,0.4972319006919861,116,0.9652777777777778,0.23943661971830985
0.5,0.01,8,250,0.2,32,0.6251067519187927,226,0.33802816901408456,0.2753036437246964
0.0,0.015,8,50,0.30000000000000004,32,0.6366950869560242,0,0.22519238558120697,0.22366288492706646
0.5,0.01,4,300,0.30000000000000004,16,0.5871044397354126,288,0.4057591623036649,0.32608695652173914
0.0,0.005,4,150,0.30000000000000004,8,0.6316303014755249,0,0.22519238558120697,0.22366288492706646
1.0,0.015,32,350,0.30000000000000004,32,0.36651164293289185,211,0.0,0.0
1.0,0.01,4,250,0.2,8,0.37678608298301697,67,0.22519238558120697,0.22366288492706646
0.4,0.02,4,250,0.15000000000000002,4,0.5018771886825562,200,0.536256323777403,0.3285714285714286
0.8,0.015,16,200,0.1,8,0.4898994565010071,9,0.7500000000000001,0.2545454545454546
0.7000000000000001,0.02,4,50,0.1,4,0.5154966711997986,45,0.468265162200282,0.3204419889502762
1.0,0.015,32,200,0.25,8,0.3767700791358948,46,0.22519238558120697,0.22366288492706646
0.30000000000000004,0.015,16,50,0.4,32,0.6559861302375793,44,0.22671063478977738,0.22405271828665566
0.2,0.02,8,350,0.4,8,0.5354889035224915,168,0.4741641337386018,0.3333333333333333
0.30000000000000004,0.02,4,450,0.35000000000000003,16,0.5459615588188171,393,0.47846889952153104,0.3355704697986577
0.6000000000000001,0.01,16,450,0.05,32,0.5540125370025635,406,0.4429347826086957,0.32
0.2,0.005,16,200,0.35000000000000003,32,0.670482337474823,21,0.22519238558120697,0.22366288492706646
0.30000000000000004,0.01,8,250,0.4,16,0.6410467624664307,202,0.34237995824634654,0.2869198312236287
0.6000000000000001,0.02,16,50,0.0,32,0.6260654926300049,48,0.3157010915197313,0.24749163879598662
0.6000000000000001,0.015,8,100,0.15000000000000002,8,0.5144563317298889,61,0.4606240713224368,0.32142857142857145
0.2,0.01,32,400,0.1,8,0.5359007716178894,218,0.443609022556391,0.30051813471502586
0.8,0.02,16,350,0.4,32,0.5276539921760559,240,0.47251114413075784,0.3375
0.30000000000000004,0.005,32,150,0.35000000000000003,8,0.5905536413192749,140,0.3626126126126126,0.30136986301369867
0.6000000000000001,0.01,16,450,0.35000000000000003,32,0.5603640079498291,401,0.4220963172804532,0.32558139534883723
0.6000000000000001,0.01,16,100,0.30000000000000004,8,0.5488066673278809,89,0.3847926267281106,0.2966507177033493
0.8,0.01,4,200,0.4,4,0.4696056544780731,118,0.49923430321592643,0.32051282051282043
0.1,0.02,32,450,0.30000000000000004,4,0.5204430222511292,175,0.6177884615384616,0.2755102040816327
0.2,0.02,32,200,0.35000000000000003,32,0.567380428314209,194,0.39276485788113696,0.3280423280423281
0.0,0.01,4,150,0.0,32,0.6748881340026855,133,0.31958762886597936,0.27999999999999997
0.8,0.015,4,300,0.25,16,0.536604642868042,71,0.448,0.2983425414364641
0.5,0.02,8,50,0.25,32,0.6520626544952393,11,0.2763157894736842,0.25688073394495414
0.1,0.015,32,350,0.1,8,0.5102691054344177,255,0.5228426395939086,0.30687830687830686
0.5,0.02,16,500,0.30000000000000004,32,0.5291089415550232,435,0.47530864197530864,0.3355704697986577
0.1,0.015,8,250,0.1,32,0.5823761224746704,246,0.3793490460157127,0.30841121495327106
0.2,0.01,16,300,0.25,4,0.5277326107025146,44,0.49363057324840764,0.3221476510067114
0.2,0.015,32,500,0.05,8,0.5015788674354553,242,0.8318318318318318,0.2874251497005988
1.0,0.01,32,250,0.30000000000000004,8,0.3872813284397125,25,0.22519238558120697,0.22366288492706646
0.7000000000000001,0.01,16,150,0.0,8,0.47671371698379517,90,0.7446236559139784,0.27368421052631575
0.8,0.005,8,50,0.35000000000000003,4,0.5641841888427734,47,0.4357366771159875,0.3221476510067114
0.0,0.01,4,150,0.1,32,0.642927885055542,0,0.23981042654028437,0.23238095238095238
0.9,0.01,4,300,0.1,4,0.5168139934539795,42,0.5509259259259258,0.23111111111111113
0.4,0.015,8,50,0.4,16,0.6540017127990723,3,0.26802507836990597,0.25999999999999995
0.1,0.01,16,350,0.2,16,0.5764776468276978,319,0.38374717832957117,0.30275229357798167
0.9,0.015,4,500,0.0,8,0.4828273355960846,45,0.6752503576537912,0.27368421052631575
0.6000000000000001,0.02,16,150,0.4,32,0.5848614573478699,147,0.3665893271461717,0.31279620853080564
0.2,0.015,8,100,0.4,4,0.5560803413391113,84,0.38085327783558787,0.2894736842105263
0.30000000000000004,0.005,4,350,0.15000000000000002,16,0.6347277760505676,315,0.34764397905759165,0.2753036437246964
0.9,0.01,16,250,0.4,32,0.5224111676216125,162,0.46801872074882994,0.3378378378378379
0.5,0.01,32,500,0.15000000000000002,4,0.5002695918083191,55,0.817109144542773,0.30409356725146197
0.2,0.015,8,200,0.25,4,0.5293448567390442,133,0.46938775510204084,0.3190184049079755
0.0,0.005,16,400,0.4,16,0.6567385792732239,399,0.37359900373599003,0.3174603174603175
0.2,0.005,8,150,0.1,4,0.5619540214538574,142,0.4233766233766234,0.30434782608695654
0.9,0.015,4,200,0.25,4,0.4762076437473297,11,0.6024096385542168,0.27350427350427353
0.5,0.01,32,450,0.05,32,0.5444462895393372,292,0.4199475065616798,0.323699421965318
0.6000000000000001,0.02,8,100,0.35000000000000003,16,0.56955486536026,97,0.4052980132450331,0.3076923076923077
0.8,0.015,8,200,0.2,8,0.4801141619682312,41,0.557659208261618,0.3472222222222222
0.2,0.02,32,300,0.4,4,0.5200865864753723,59,0.5315161839863715,0.3404255319148936
0.2,0.02,8,450,0.30000000000000004,16,0.5339730381965637,183,0.4806451612903226,0.3310344827586207
0.8,0.02,32,150,0.1,16,0.4971741735935211,26,0.502283105022831,0.28708133971291866
0.2,0.01,16,100,0.15000000000000002,16,0.6235954761505127,87,0.339304531085353,0.28820960698689957
0.8,0.02,8,50,0.4,4,0.5071027874946594,30,0.4611111111111111,0.3389830508474576
0.7000000000000001,0.02,16,500,0.2,4,0.47854331135749817,29,0.7620357634112792,0.27472527472527475
0.30000000000000004,0.015,16,350,0.4,32,0.5784468650817871,345,0.4119241192411924,0.32
0.6000000000000001,0.01,32,100,0.30000000000000004,16,0.5641342997550964,99,0.3952569169960474,0.33513513513513515
0.7000000000000001,0.015,8,150,0.4,4,0.49061650037765503,142,0.5023696682464455,0.3311258278145695
0.9,0.015,32,150,0.15000000000000002,4,0.5097805261611938,7,0.903752039151713,0.2978723404255319
0.2,0.015,16,400,0.05,32,0.5592788457870483,307,0.4132841328413284,0.31413612565445026
0.8,0.01,8,250,0.2,8,0.5256906151771545,94,0.526071842410197,0.2686567164179105
0.5,0.005,4,450,0.2,16,0.5653038620948792,418,0.45494830132939434,0.3164556962025316
0.6000000000000001,0.005,16,50,0.35000000000000003,8,0.6483899354934692,40,0.22693877551020408,0.22439024390243903
1.0,0.015,4,250,0.25,16,0.3531964421272278,28,0.22519238558120697,0.22366288492706646
1.0,0.01,8,200,0.2,32,0.348618745803833,85,0.22519238558120697,0.22366288492706646
1.0,0.005,16,400,0.1,16,0.34999212622642517,58,0.22519238558120697,0.22366288492706646
0.1,0.01,16,350,0.4,32,0.6621007323265076,116,0.3424807903402854,0.26785714285714285
0.8,0.015,32,350,0.30000000000000004,32,0.5307295322418213,262,0.4587155963302752,0.3116883116883117
0.4,0.005,8,250,0.25,8,0.5518105626106262,241,0.4246575342465754,0.33142857142857146
0.7000000000000001,0.015,4,150,0.0,8,0.5071748495101929,48,0.4892966360856268,0.24899598393574296
0.9,0.015,32,350,0.05,8,0.4606724679470062,7,0.9619377162629758,0.2753623188405797
0.5,0.02,8,300,0.05,16,0.5212534070014954,251,0.5714285714285714,0.30857142857142855
0.7000000000000001,0.01,16,350,0.0,32,0.5008403658866882,334,0.530562347188264,0.33695652173913043
0.5,0.005,16,300,0.0,4,0.4983992278575897,111,0.9022801302931596,0.2967741935483871
0.30000000000000004,0.02,8,450,0.1,8,0.5390445590019226,172,0.5466491458607096,0.2708333333333333
0.7000000000000001,0.005,4,450,0.25,4,0.5439603924751282,237,0.5096774193548386,0.29931972789115646
0.30000000000000004,0.015,8,200,0.30000000000000004,4,0.5392513871192932,107,0.4945226917057903,0.3311258278145695
0.5,0.005,32,50,0.25,8,0.6117542386054993,8,0.25,0.23480083857442352
0.1,0.015,16,500,0.30000000000000004,32,0.5707541108131409,434,0.40970350404312667,0.3181818181818181
0.8,0.005,16,450,0.35000000000000003,4,0.52130526304245,98,0.5326797385620915,0.29333333333333333
0.9,0.02,16,200,0.05,4,0.460773229598999,1,0.9070146818923328,0.32926829268292684
0.6000000000000001,0.02,32,150,0.35000000000000003,4,0.5002707839012146,36,0.5039123630672926,0.34210526315789475
0.9,0.02,4,300,0.35000000000000003,4,0.4714522957801819,11,0.595330739299611,0.2945736434108527
0.0,0.01,32,300,0.1,16,0.5622410774230957,283,0.3857493857493858,0.31413612565445026
0.0,0.01,8,250,0.2,32,0.6200737953186035,0,0.32981783317353786,0.2661596958174905
0.4,0.01,8,150,0.2,32,0.6578949689865112,13,0.32901296111665007,0.2709163346613546
0.30000000000000004,0.01,32,500,0.35000000000000003,32,0.5571488738059998,480,0.4090305444887118,0.3387978142076503
0.9,0.005,4,400,0.15000000000000002,4,0.5218636393547058,179,0.5081967213114755,0.2457627118644068
1.0,0.005,16,450,0.15000000000000002,8,0.3706849217414856,9,0.22519238558120697,0.22366288492706646
0.2,0.005,8,200,0.25,32,0.6744685173034668,185,0.24193548387096772,0.22516556291390727
0.4,0.01,32,100,0.25,4,0.5311573147773743,47,0.40987654320987654,0.3404255319148936
0.5,0.02,16,450,0.4,8,0.5181061029434204,93,0.525,0.3246753246753247
0.30000000000000004,0.005,4,250,0.30000000000000004,16,0.598944365978241,0,0.2782984859408796,0.2507462686567164
1.0,0.005,16,400,0.2,32,0.342909574508667,260,0.5247311827956989,0.3243243243243243
0.9,0.02,32,50,0.4,4,0.5095647573471069,10,0.383515559293524,0.24305555555555552
0.8,0.01,4,300,0.1,32,0.5517799854278564,143,0.4617691154422789,0.32051282051282043
0.6000000000000001,0.015,16,250,0.2,8,0.5199463963508606,116,0.5033647375504711,0.3372093023255814
0.30000000000000004,0.015,16,50,0.15000000000000002,16,0.640596330165863,28,0.27586206896551724,0.24705882352941178
0.7000000000000001,0.01,4,250,0.1,32,0.5632296800613403,173,0.4566473988439307,0.3157894736842105
0.8,0.01,16,400,0.15000000000000002,16,0.5272480249404907,98,0.49475890985324944,0.2882882882882883
0.1,0.02,8,150,0.2,8,0.5428549647331238,98,0.46319018404907975,0.3333333333333333
0.6000000000000001,0.01,16,50,0.0,16,0.5601504445075989,48,0.3697674418604651,0.32038834951456313
0.4,0.02,8,300,0.4,4,0.5155479907989502,92,0.5221674876847291,0.3013698630136986
0.30000000000000004,0.02,4,50,0.25,32,0.6301752924919128,0,0.0,0.0
0.8,0.015,8,150,0.2,8,0.4986957609653473,39,0.5342624854819976,0.2722513089005235
0.1,0.02,32,500,0.1,16,0.5134605765342712,237,0.475609756097561,0.2962962962962963
0.2,0.02,16,200,0.0,32,0.5620529651641846,95,0.3935926773455378,0.30999999999999994
0.4,0.005,32,250,0.35000000000000003,4,0.5229448080062866,198,0.4552129221732746,0.34838709677419355
0.4,0.01,8,100,0.30000000000000004,8,0.5827792882919312,87,0.3824604141291108,0.30612244897959184
0.2,0.005,4,150,0.0,32,0.6804639101028442,31,0.2328131590046394,0.22895622895622897
0.9,0.015,32,400,0.0,16,0.4299391210079193,42,0.9823321554770319,0.30344827586206896
0.5,0.01,4,350,0.35000000000000003,4,0.5295599699020386,330,0.43548387096774194,0.3024390243902439
0.2,0.015,16,100,0.4,4,0.5368085503578186,72,0.4512372634643377,0.32098765432098764
0.0,0.015,4,50,0.15000000000000002,4,0.5843921303749084,49,0.3942652329749104,0.31088082901554404
0.7000000000000001,0.02,16,150,0.05,16,0.5066498517990112,111,0.4861878453038674,0.30409356725146197
0.30000000000000004,0.01,16,150,0.2,8,0.554811954498291,122,0.41602067183462527,0.30434782608695654
0.7000000000000001,0.005,8,250,0.25,16,0.5778713226318359,239,0.3758099352051837,0.29223744292237447
0.2,0.005,8,350,0.15000000000000002,16,0.5912778377532959,330,0.3870192307692308,0.3168316831683168
0.5,0.02,32,250,0.4,16,0.5135181546211243,164,0.44879518072289154,0.3225806451612903
0.9,0.015,32,200,0.4,16,0.504792332649231,23,0.4984709480122324,0.3116883116883117
0.2,0.015,4,350,0.05,32,0.582736074924469,343,0.39515151515151514,0.297029702970297
0.5,0.01,8,50,0.1,16,0.6495954394340515,34,0.3299595141700405,0.26771653543307083
0.8,0.005,4,250,0.30000000000000004,8,0.5454539656639099,158,0.47604327666151475,0.32894736842105265
0.9,0.005,32,350,0.0,32,0.4993492364883423,223,0.8615863141524105,0.26582278481012656
0.2,0.005,8,500,0.4,16,0.6281809210777283,0,0.3143939393939394,0.2702702702702703
0.7000000000000001,0.02,4,400,0.35000000000000003,4,0.5074551701545715,282,0.4653567735263703,0.25210084033613445
0.1,0.005,8,200,0.25,8,0.6383146047592163,189,0.3451143451143451,0.29535864978902954
1.0,0.005,16,50,0.05,16,0.44126561284065247,9,0.38847858197932056,0.25139664804469275
0.2,0.02,4,50,0.0,8,0.581814169883728,44,0.3851508120649652,0.2966507177033493
0.30000000000000004,0.01,4,400,0.2,4,0.5310387015342712,335,0.5350734094616639,0.3310344827586207
